u'{"time":"2019-07-27 22:26:20,364","name":"root","level": "ERROR","module": "views","line": "166","message": "'appurl'"}'
u'{"time":"2019-07-27 22:29:23,154","name":"root","level": "ERROR","module": "views","line": "167","message": "'accountname'"}'
u'{"time":"2019-07-27 22:33:00,036","name":"root","level": "ERROR","module": "views","line": "167","message": "'accountname'"}'
u'{"time":"2019-07-27 22:35:01,571","name":"root","level": "ERROR","module": "views","line": "167","message": "'storageconnectstring'"}'
u'{"time":"2019-07-27 22:35:30,054","name":"root","level": "ERROR","module": "views","line": "167","message": "'servername'"}'
u'{"time":"2019-07-27 22:36:21,429","name":"root","level": "ERROR","module": "views","line": "167","message": "'sqlpass'"}'
u'{"time":"2019-07-27 22:42:24,775","name":"root","level": "ERROR","module": "views","line": "167","message": "'sources'"}'
u'{"time":"2019-07-27 22:48:34,719","name":"root","level": "ERROR","module": "views","line": "167","message": "'bqproject'"}'
u'{"time":"2019-07-27 22:54:42,033","name":"root","level": "ERROR","module": "views","line": "170","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 12:03:34,290","name":"root","level": "ERROR","module": "views","line": "172","message": "400 Client Error: Bad Request for url: https://management.azure.com/subscriptions/98b7f374-098f-4d1e-98d1-a2ca9fc58c4c/resourcegroups/Divaker-RG/providers/Microsoft.Resources/deployments/azure-sample?api-version=2019-05-01"}'
u'{"time":"2019-07-28 12:10:33,712","name":"root","level": "ERROR","module": "views","line": "172","message": "400 Client Error: Bad Request for url: https://management.azure.com/subscriptions/98b7f374-098f-4d1e-98d1-a2ca9fc58c4c/resourcegroups/Divaker-RG/providers/Microsoft.Resources/deployments/azure-sample?api-version=2019-05-01"}'
u'{"time":"2019-07-28 12:10:34,331","name":"root","level": "ERROR","module": "views","line": "172","message": "400 Client Error: Bad Request for url: https://management.azure.com/subscriptions/98b7f374-098f-4d1e-98d1-a2ca9fc58c4c/resourcegroups/Divaker-RG/providers/Microsoft.Resources/deployments/azure-sample?api-version=2019-05-01"}'
u'{"time":"2019-07-28 12:36:45,635","name":"root","level": "ERROR","module": "views","line": "172","message": "400 Client Error: Bad Request for url: https://management.azure.com/subscriptions/98b7f374-098f-4d1e-98d1-a2ca9fc58c4c/resourcegroups/Divaker-RG/providers/Microsoft.Resources/deployments/azure-sample?api-version=2019-05-01"}'
u'{"time":"2019-07-28 14:20:41,891","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:21:11,854","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:21:18,841","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:22:09,267","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:22:51,165","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:23:25,732","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
u'{"time":"2019-07-28 14:23:51,281","name":"root","level": "ERROR","module": "views","line": "172","message": "You need to provide an account name and either an account_key or sas_token when creating a storage service."}'
